Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ ,Aggregate Cost Share for Beneficiaries with Low Income Subsidy,Aggregate Cost Share for Beneficiaries with No Low Income Subsidy, Opioid Drug Flag ,Extended-Release Opioid Drug Flag, Antibiotic Drug Flag , Antipsychotic Drug Flag 
UTIRA-C,METH/MEBLUE/SOD PHOS/PSAL/HYOS,14,25,33.0,9768.26,14,*,,,,*,,26.65,694.32,N,N,N,N
V-C FORTE,MULTIVIT-MINS NO.7/FOLIC ACID,,12,36.0,234.55,,*,,,,*,,0.00,234.55,N,N,N,N
VAGIFEM,ESTRADIOL,46166,311001,524631.0,99163827.41,94346,,287938,492370,92506487.37,,86961,190887.33,25312324.84,N,N,N,N
VALACYCLOVIR,VALACYCLOVIR HCL,294728,1776583,2157735.1,63778732.87,807813,,1291912,1586364.2,45881454.06,,652127,689619.20,19340925.39,N,N,N,N
VALCHLOR,MECHLORETHAMINE HCL,456,2877,2913.3,14083343.07,694,,2491,2525.8,12099033.31,,605,5813.55,1090427.86,N,N,N,N
VALCYTE,VALGANCICLOVIR HCL,1122,3902,4048.6,12171388.25,1436,,1049,1136.6,3288168.23,,425,25373.43,486631.32,N,N,N,N
VALGANCICLOVIR HCL,VALGANCICLOVIR HCL,7602,71502,74914.3,135846766.17,20136,,24239,25976.7,45696061.08,,7047,229320.32,7448907.16,N,N,N,N
VALIUM,DIAZEPAM,4075,16302,18707.2,7537230.41,3534,,12086,14081.3,5040371.79,,2768,22234.08,879368.77,N,N,N,N
VALPROATE SODIUM,VALPROIC ACID (AS SODIUM SALT),48,228,228.0,12696.27,63,,62,62,2740.71,,22,75.05,903.97,N,N,N,N
VALPROIC ACID,VALPROIC ACID,22162,123194,153446.0,4245188.86,22521,,62244,81574.6,2014955.55,,12186,70828.24,477203.70,N,N,N,N
VALPROIC ACID,VALPROIC ACID (AS SODIUM SALT),26758,273644,282606.8,8641363.89,37270,,135849,139324.6,3664613.19,,21131,58284.23,240665.71,N,N,N,N
VALSARTAN,VALSARTAN,236049,4739106,8432163.7,224048416.88,928775,,4275349,7727285,204478173.26,,842983,2331170.89,43730068.57,N,N,N,N
VALSARTAN-HYDROCHLOROTHIAZIDE,VALSARTAN/HYDROCHLOROTHIAZIDE,175480,3176904,6125210.1,94001617.31,629876,,2887342,5668990.5,86492717.96,,578137,1356431.16,28663922.52,N,N,N,N
VALSTAR,VALRUBICIN,14,25,29.7,428104.91,15,#,,,,#,,22.20,19972.50,N,N,N,N
VALTREX,VALACYCLOVIR HCL,2354,7949,10820.0,5173350.79,2153,,4892,6993.5,3152815.37,,1480,8722.07,414835.44,N,N,N,N
VANATOL LQ,BUTALB/ACETAMINOPHEN/CAFFEINE,54,142,142.3,289742.97,73,,44,44,96717.75,,33,696.02,4216.43,N,N,N,N
VANCOCIN HCL,VANCOMYCIN HCL,120,170,170.8,671769.82,118,,125,125.8,310377.93,,87,595.73,17468.12,N,N,Y,N
VANCOMYCIN,VANCOMYCIN HCL IN DEXTROSE 5 %,1023,3702,3706.0,235195.69,1205,,2716,2720,166211.56,,922,2926.29,13093.52,N,N,Y,N
VANCOMYCIN HCL,VANCOMYCIN HCL,84986,389518,392540.9,103184627.22,134584,,285761,288466.5,76066441.48,,103049,439350.27,12437177.77,N,N,Y,N
VANCOMYCIN HCL,VANCOMYCIN HCL IN DEXTROSE 5 %,2785,11464,11467.1,1636366.91,3932,,8164,8166.3,1062431.32,,2917,14411.00,99448.48,N,N,Y,N
VANCOMYCIN HCL-0.9% NACL,VANCOMYCIN/0.9 % SOD CHLORIDE,610,2432,2432.0,243571.31,803,,1881,1881,180502.83,,643,559.84,10356.50,N,N,Y,N
VANCOMYCIN HCL-D5W,VANCOMYCIN HCL IN DEXTROSE 5 %,468,1614,1614.0,56747.86,527,,1297,1297,44912.00,,439,599.94,3369.52,N,N,Y,N
VANDAZOLE,METRONIDAZOLE,4365,6746,7083.0,524150.68,5511,,4350,4607.7,328603.29,,3592,5308.70,70764.41,N,N,N,N
VANISHPOINT,"SYRINGE AND NEEDLE,INSULIN,1ML",265,2170,2232.0,141452.49,479,,1976,2030.2,128029.78,,429,1220.33,14408.93,N,N,N,N
VANISHPOINT,"SYRINGE-NEEDLE,INSULIN,0.5 ML",18,164,169.3,9218.09,27,#,,,,#,,175.40,1291.78,N,N,N,N
VANOS,FLUOCINONIDE,67,110,130.0,249280.40,67,,99,113,234679.05,#,,92.00,11726.87,N,N,N,N
VANTAS,HISTRELIN ACETATE,18,35,161.2,116256.38,35,,35,161.2,116256.38,,35,50.60,5809.38,N,N,N,N
VAQTA,HEPATITIS A VIRUS VACCINE/PF,4452,9793,9855.1,828375.05,9134,,8412,8472,690442.00,,7870,8784.43,344160.80,N,N,N,N
VARIVAX VACCINE,VARICELLA VACCINE LIVE/PF,819,1360,1374.4,173430.42,1147,,770,772,98239.43,,677,2895.09,29287.08,N,N,N,N
VARUBI,ROLAPITANT HCL,459,3612,3759.7,2914477.33,1593,,3143,3266.3,2537810.71,,1375,8865.57,365448.23,N,N,N,N
VASCEPA,ICOSAPENT ETHYL,21646,342384,436976.1,88952681.89,70594,,280818,360569.7,72940450.93,,57320,606346.41,6195423.71,N,N,N,N
VASERETIC,ENALAPRIL/HYDROCHLOROTHIAZIDE,99,436,780.0,320361.62,88,,420,739,304513.39,#,,438.32,44613.29,N,N,N,N
VASOSTRICT,VASOPRESSIN,,13,13.0,86590.23,,,0,0,0.00,,0,0.00,0.00,N,N,N,N
VASOTEC,ENALAPRIL MALEATE,1041,4350,8221.0,7535399.55,940,,4131,7856.5,7161501.59,,877,3965.92,404823.55,N,N,N,N
VECAMYL,MECAMYLAMINE HCL,11,74,74.1,411451.69,,,11,11,41050.13,*,,5.90,3051.13,N,N,N,N
VECTIBIX,PANITUMUMAB,33,194,200.0,1404926.37,40,,148,154,1007787.85,#,,83.20,39443.43,N,N,N,N
VECTICAL,CALCITRIOL,1238,6006,7003.0,1315681.01,2963,,5230,6088.4,1062486.90,,2657,1580.48,79496.48,N,N,N,N
VELCADE,BORTEZOMIB,296,2734,2747.4,15264127.17,544,,2377,2390.4,13091765.06,,476,8895.99,427230.54,N,N,N,N
VELETRI,EPOPROSTENOL SODIUM (ARGININE),16,82,82.0,320502.75,16,,31,31,97023.81,*,,3.60,5490.88,N,N,N,N
VELIVET,DESOGESTREL-ETHINYL ESTRADIOL,259,1471,1831.1,40313.99,221,*,,,,*,,1533.51,2488.05,N,N,N,N
VELPHORO,SUCROFERRIC OXYHYDROXIDE,4923,39691,49328.0,71865347.56,11038,,10641,13151.8,16792764.40,,3124,199549.15,1669648.91,N,N,N,N
VELTASSA,PATIROMER CALCIUM SORBITEX,2547,15657,17835.8,10880329.95,5213,,11586,13154.1,8035902.81,,3752,45553.89,1534654.99,N,N,N,N
VELTIN,CLINDAMYCIN/TRETINOIN,59,98,100.0,44904.92,58,,39,39,17388.12,,29,120.70,3767.26,N,N,N,N
VEMAVITE-PRX 2,PNV 66/IRON/FOLIC/DOCUSATE/DHA,,17,29.0,1212.08,,*,,,,*,,96.27,516.00,N,N,N,N
VEMLIDY,TENOFOVIR ALAFENAMIDE FUMARATE,137,244,289.0,286725.17,213,,193,227,224815.10,,170,267.99,6633.65,N,N,N,N
VENCLEXTA,VENETOCLAX,269,827,831.0,6667302.00,283,,705,709,5573131.63,,238,102.68,307268.42,N,N,N,N
VENCLEXTA STARTING PACK,VENETOCLAX,241,280,282.4,576380.47,276,,242,244,498362.42,,238,381.11,61511.83,N,N,N,N
VENLAFAXINE HCL,VENLAFAXINE HCL,125135,988214,1393858.3,32082453.77,202745,,676542,1005394.7,22694139.99,,139670,623772.09,9416995.33,N,N,N,N
VENLAFAXINE HCL ER,VENLAFAXINE HCL,246259,4912119,7127390.9,137499730.65,777015,,3015626,4759403.8,85730061.01,,509581,3180633.39,35857966.57,N,N,N,N
VENTAVIS,ILOPROST TROMETHAMINE,,23,23.0,521157.67,,#,,,,#,,7.40,13816.72,N,N,N,N
VENTOLIN HFA,ALBUTEROL SULFATE,381445,5666246,6329275.3,342185893.27,2273262,,3599931,4070090.1,219044646.52,,1564455,13458399.53,71209968.72,N,N,N,N
VERAMYST,FLUTICASONE FUROATE,8741,24890,36284.2,6409605.53,9201,,19581,29288.7,5147819.08,,7488,35555.34,1038935.66,N,N,N,N
VERAPAMIL ER,VERAPAMIL HCL,171977,1997250,3793102.7,59395187.86,397869,,1742169,3408852.6,53661769.53,,352050,926276.77,19609528.45,N,N,N,N
VERAPAMIL ER PM,VERAPAMIL HCL,20067,103528,193673.4,9709658.95,20879,,91764,176195.5,8840486.26,,18580,61408.92,2045846.90,N,N,N,N
VERAPAMIL HCL,VERAPAMIL HCL,76072,433169,753072.6,22579529.58,93762,,347489,629783.4,19683569.51,,76200,225146.49,3820609.36,N,N,N,N
VERAPAMIL SR,VERAPAMIL HCL,40984,141024,285920.7,10445629.77,49634,,121139,252450.2,9232282.88,,43300,95473.19,2333964.95,N,N,N,N
VEREGEN,SINECATECHINS,195,342,345.5,454471.39,193,,120,123.5,137986.01,,84,530.20,20286.25,N,N,N,N
VERELAN,VERAPAMIL HCL,193,742,1505.4,361443.56,175,,704,1453.4,348844.99,#,,369.55,62811.57,N,N,N,N
VERELAN PM,VERAPAMIL HCL,139,651,1136.6,270774.37,125,,623,1092.6,259864.98,#,,510.48,51060.43,N,N,N,N
VERSACLOZ,CLOZAPINE,92,892,894.7,1186262.01,91,,109,110,119642.97,,11,1533.50,251.63,N,N,N,Y
VESICARE,SOLIFENACIN SUCCINATE,134149,1876019,2614671.6,705960596.39,370060,,1566325,2217696.6,595075432.50,,317490,3256355.07,72678712.04,N,N,N,N
VESTURA,ETHINYL ESTRADIOL/DROSPIRENONE,908,3566,5291.8,243659.66,777,,18,28.8,1041.20,*,,4812.57,11151.76,N,N,N,N
VEXOL,RIMEXOLONE,746,2235,3525.6,266097.84,1010,,2027,3245.8,243479.69,,942,2217.63,94710.36,N,N,N,N
VFEND,VORICONAZOLE,60,182,183.0,853873.37,53,,100,100,490603.15,,29,172.80,11655.55,N,N,N,N
VFEND IV,VORICONAZOLE,76,293,293.0,89192.21,76,,186,186,51962.57,,61,259.43,11660.79,N,N,N,N
VGO 20,"SUB-Q INSULIN DEVICE, 20 UNIT",1449,10278,12380.3,3526028.96,2223,,7602,9365.4,2663454.72,,1572,20295.82,499819.21,N,N,N,N
VGO 30,"SUB-Q INSULIN DEVICE, 30 UNIT",1629,11077,12965.2,3713200.12,2523,,7907,9552.2,2728227.80,,1713,22275.64,517912.19,N,N,N,N
VGO 40,"SUB-Q INSULIN DEVICE, 40 UNIT",1981,16695,19928.7,5748204.93,3306,,10863,13396.7,3846828.97,,2058,30741.29,695775.11,N,N,N,N
VIAGRA,SILDENAFIL CITRATE,7068,185081,196188.0,36850638.31,36240,,161531,171210.9,32211158.78,,31874,264975.87,1090257.44,N,N,N,N
VIBATIV,TELAVANCIN HCL,,30,30.0,51156.28,,,30,30,51156.28,*,,14.60,9030.17,N,N,Y,N
VIBERZI,ELUXADOLINE,7044,22983,25426.1,21951467.83,8786,,15804,17795.3,15112345.04,,6215,40298.29,1549552.16,N,N,N,N
VIBRAMYCIN,DOXYCYCLINE CALCIUM,918,1897,2069.6,264804.59,1063,,1477,1611.5,176401.44,,863,1338.17,46788.62,N,N,Y,N
VIBRAMYCIN,DOXYCYCLINE HYCLATE,112,287,386.0,128945.38,101,,265,364,119249.66,#,,600.69,4224.34,N,N,Y,N
VIBRAMYCIN,DOXYCYCLINE MONOHYDRATE,29,49,49.0,6261.24,29,#,,,,#,,14.20,887.44,N,N,Y,N
VICODIN,HYDROCODONE/ACETAMINOPHEN,21845,44975,45898.8,2947717.99,28181,,35763,36619,2288487.03,,22904,17431.15,519721.75,Y,N,N,N
VICODIN ES,HYDROCODONE/ACETAMINOPHEN,9343,25695,26289.3,2688711.08,10571,,18304,18782.5,1876694.56,,8112,18423.88,390030.10,Y,N,N,N
VICODIN HP,HYDROCODONE/ACETAMINOPHEN,2716,9260,9518.8,1680723.50,2406,,5640,5862.9,1031274.02,,1528,9034.28,195844.23,Y,N,N,N
VICOPROFEN,HYDROCODONE/IBUPROFEN,40,61,65.0,21726.19,39,,37,39,13376.39,,23,85.22,4514.45,Y,N,N,N
VICTOZA 2-PAK,LIRAGLUTIDE,54205,384611,470262.8,218362681.62,99404,,265894,331605.4,153378523.91,,68321,878200.10,19045116.94,N,N,N,N
VICTOZA 3-PAK,LIRAGLUTIDE,71450,815393,1195789.4,784512789.31,183878,,575663,876166.5,570349623.49,,131882,1613376.65,57278772.14,N,N,N,N
VIDAZA,AZACITIDINE,18,72,77.2,481132.46,20,,72,77.2,481132.46,,20,18.00,18681.20,N,N,N,N
VIDEX,DIDANOSINE,,58,58.0,8953.21,,*,,,,*,,69.80,80.00,N,N,N,N
VIDEX EC,DIDANOSINE,70,269,277.5,67635.21,68,,108,116,27531.97,,27,374.48,3225.80,N,N,N,N
VIEKIRA PAK,OMBITA/PARITAP/RITON/DASABUVIR,864,3245,3259.1,90372742.29,1208,,1779,1791.1,49563044.70,,665,55863.46,1892305.66,N,N,N,N
VIEKIRA XR,OMBITA/PARITAP/RITON/DASABUVIR,106,318,318.9,8894451.83,134,,174,174,4826401.83,,72,1857.08,171831.75,N,N,N,N
VIENVA,LEVONORGESTREL-ETHIN ESTRADIOL,89,211,323.7,4695.27,88,,0,0,0.00,,0,183.97,325.42,N,N,N,N
VIGAMOX,MOXIFLOXACIN HCL,42822,493377,497490.4,76680415.18,331732,,452650,456323.4,70165572.90,,305991,702286.38,19362875.99,N,N,N,N
VIIBRYD,VILAZODONE HCL,33769,300916,361098.2,74050276.66,48197,,139243,177338.7,35616922.44,,23097,741326.64,8742924.44,N,N,N,N
VIMIZIM,ELOSULFASE ALFA,12,106,106.0,8434573.46,11,,13,13,1128905.74,*,,36.60,21284.90,N,N,N,N
VIMOVO,NAPROXEN/ESOMEPRAZOLE MAG,4186,16165,18981.5,32346167.11,5958,,12088,14510.9,24617057.96,,4409,26481.58,484733.37,N,N,N,N
VIMPAT,LACOSAMIDE,38505,546238,598211.8,377870993.37,58580,,189339,210783.8,114800545.41,,22232,928904.13,12666241.20,N,N,N,N
VINBLASTINE SULFATE,VINBLASTINE SULFATE,17,61,61.0,5151.60,20,,40,40,2937.41,#,,43.90,600.04,N,N,N,N
VINCASAR PFS,VINCRISTINE SULFATE,16,60,62.4,1420.41,27,,49,49.4,1180.70,#,,15.95,36.67,N,N,N,N
VINCRISTINE SULFATE,VINCRISTINE SULFATE,110,592,602.5,7045.59,153,,525,535.5,6274.85,,134,138.52,1255.76,N,N,N,N
VINORELBINE TARTRATE,VINORELBINE TARTRATE,32,160,160.2,18683.44,43,,128,128.2,15415.87,#,,30.35,1371.62,N,N,N,N
VIOKACE,LIPASE/PROTEASE/AMYLASE,582,2022,2349.7,2168624.43,572,,1182,1426.1,1164329.23,,364,3376.86,123045.54,N,N,N,N
VIORELE,DESOG-E.ESTRADIOL/E.ESTRADIOL,653,3131,4100.3,107597.54,560,*,,,,*,,3414.98,6438.74,N,N,N,N
VIRACEPT,NELFINAVIR MESYLATE,999,8065,8588.9,8669647.58,971,,3417,3810.3,3822370.49,,429,16211.19,226983.12,N,N,N,N
VIRAMUNE,NEVIRAPINE,148,765,880.2,649342.38,129,,366,402.2,296896.17,,59,593.67,15317.63,N,N,N,N
VIRAMUNE XR,NEVIRAPINE,358,2729,2951.3,2020707.92,394,,990,1111.3,758223.94,,154,4012.14,62546.35,N,N,N,N
VIRASAL,SALICYLIC ACID,,12,12.0,3359.13,,*,,,,*,,33.00,343.67,N,N,N,N
VIREAD,TENOFOVIR DISOPROXIL FUMARATE,12838,177148,195529.8,175854813.06,22228,,92523,105521.7,99289254.70,,11471,456751.47,7469829.17,N,N,N,N
VIROPTIC,TRIFLURIDINE,53,70,81.8,22317.78,55,#,,,,#,,94.11,6401.82,N,N,N,N
VIRT NATE,PRENATAL VIT NO.73/IRON/FA,14,20,23.0,263.88,14,#,,,,#,,6.63,75.33,N,N,N,N
VIRT-ADVANCE,PRENATAL VITS15/IRON/FOLIC/DSS,55,186,263.0,1660.36,51,,148,192,1111.20,,32,138.19,545.34,N,N,N,N
VIRT-C DHA,"PNV 16/IRON FUM,PS/FOLIC/OM-3",32,68,92.0,3120.59,30,,25,27,987.64,*,,138.55,194.94,N,N,N,N
VIRT-CAPS,B COMPLEX W-C NO.20/FOLIC ACID,93,307,494.1,3935.35,98,,267,442,3431.28,,84,207.39,316.08,N,N,N,N
VIRT-NATE,PRENATAL VIT NO.73/IRON/FA,29,69,77.0,583.80,29,,48,56,408.24,,18,20.46,259.87,N,N,N,N
VIRT-NATE DHA,PNV 11/IRON FUM/FOLIC ACID/OM3,,14,18.0,1693.01,,*,,,,*,,23.00,50.00,N,N,N,N
VYFEMLA,NORETHINDRONE-ETHINYL ESTRAD,64,258,346.7,8505.02,63,,24,37.5,835.24,*,,196.65,1071.06,N,N,N,N
VIRT-PHOS 250 NEUTRAL,"SOD PHOS DI, MONO/K PHOS MONO",79,97,128.9,3327.61,78,,53,72.5,2065.25,,46,56.30,600.35,N,N,N,N
VIRT-PN,"PRENATAL,CALC.40/IRON/FOLATE 1",43,112,166.0,6529.51,41,,34,36,1615.78,*,,353.66,192.07,N,N,N,N
VIRT-PN DHA,PNV COMBO#47/IRON/FA #1/DHA,156,364,471.0,25608.70,154,,46,74,4034.37,,19,807.10,636.73,N,N,N,N
VIRT-PN PLUS,PRENATAL 68/IRON/FOLIC NO1/DHA,19,49,75.0,4426.37,17,,28,44,2541.49,*,,149.80,258.33,N,N,N,N
VIRT-SELECT,PNV 80/IRON FUM/FOLIC/DSS/DHA,,14,28.0,1823.27,,*,,,,*,,19.20,98.44,N,N,N,N
VIRT-VITE FORTE,CYANOCOBALAMIN/FOLIC AC/VIT B6,,19,47.3,780.51,,,19,47.3,780.51,*,,0.00,629.21,N,N,N,N
VIRT-VITE GT,PRENATAL VITS16/IRON/FOLIC/DSS,45,207,229.2,336.36,45,,180,198,176.15,#,,4.82,119.22,N,N,N,N
VIRTPREX,PNV 66/IRON/FOLIC/DOCUSATE/DHA,66,170,190.1,1860.85,69,,63,71,572.42,,25,65.23,38.77,N,N,N,N
VISTARIL,HYDROXYZINE PAMOATE,172,519,614.0,139678.25,155,,264,339,56408.02,,78,713.00,7168.01,N,N,N,N
VITAFOL FE+,PNV 102/IRON/FOLATE 1/DSS/DHA,20,38,49.0,3814.31,21,*,,,,*,,121.40,61.12,N,N,N,N
VITAFOL GUMMIES,PNV 112/IRON/FOLIC/OM3/DHA/EPA,21,44,62.0,4244.95,24,,11,21,1115.90,*,,66.48,228.31,N,N,N,N
VITAFOL NANO,PRENATAL NO.75/IRON/FOLATE NO1,31,110,132.0,13678.62,27,,26,36,3523.74,*,,220.40,315.55,N,N,N,N
VITAFOL ULTRA,PNV#67/IRON PS/FA CMB#1/DHA,225,592,740.0,74236.74,254,,58,100,9870.88,,22,1657.54,1386.54,N,N,N,N
VITAFOL-OB,PRENATAL VIT 10/IRON FUM/FOLIC,86,204,281.0,25763.21,87,,47,71,6699.10,,19,585.75,857.23,N,N,N,N
VITAFOL-OB+DHA,PRENATAL VIT 10/IRON/FOLIC/DHA,55,188,225.0,24020.38,54,,44,54,5754.07,*,,321.85,677.87,N,N,N,N
VITAFOL-ONE,PNV#26/IRON POLY/FA/DHA,154,421,538.0,53039.82,158,,103,163,15955.28,,32,1165.62,1323.65,N,N,N,N
VITAMEDMD ONE RX,PRENATAL 25/IRON/FOLATE 6/DHA,11,43,43.0,4460.75,,*,,,,*,,80.69,697.78,N,N,N,N
VITAMEDMD PLUS RX,PRENATAL NO.39/IRON/FA #6/DHA,,17,21.0,1724.48,,*,,,,*,,30.60,7.00,N,N,N,N
VITAMIN D2,ERGOCALCIFEROL (VITAMIN D2),7332,215917,263165.7,656542.62,53125,,195650,235889.3,588946.20,,47608,30048.18,86888.49,N,N,N,N
VITEKTA,ELVITEGRAVIR,43,211,220.0,266473.28,40,,18,18,22173.50,*,,146.60,2994.39,N,N,N,N
VIVELLE-DOT,ESTRADIOL,8263,41540,60093.3,7212932.67,9181,,32651,48256.4,5776138.99,,7472,42258.41,2470952.13,N,N,N,N
VIVITROL,NALTREXONE MICROSPHERES,1656,9009,9055.4,12079563.12,2352,,1060,1072.7,1423769.12,,279,26178.04,161656.32,N,N,N,N
VIVLODEX,"MELOXICAM, SUBMICRONIZED",498,1339,1529.0,920642.21,652,,910,1077,645780.81,,468,2290.76,47031.23,N,N,N,N
VOL-CARE RX,VIT B CMPLX 3/FOLIC AC/C/BIOT,15,114,234.0,1744.62,43,#,,,,#,,0.00,110.39,N,N,N,N
VOL-NATE,PRENATAL VIT NO.73/IRON/FA,76,242,300.8,4485.89,80,,128,163.8,2468.72,,38,354.91,838.46,N,N,N,N
VOL-PLUS,PNV WITH CA#74/IRON/FOLIC ACID,1352,4672,6087.9,88273.58,1419,,2260,2944.4,41935.01,,552,6714.08,12496.28,N,N,N,N
VOLTAREN,DICLOFENAC SODIUM,208839,2116755,2270419.8,186524670.39,841081,,1695369,1816923.4,144748099.57,,676654,3575193.13,22447065.33,N,N,N,N
VOLTAREN-XR,DICLOFENAC SODIUM,35,52,66.7,19676.77,34,#,,,,#,,33.20,4000.45,N,N,N,N
VORICONAZOLE,VORICONAZOLE,8125,29289,30938.0,24294826.12,9793,,20017,21227.5,15231229.28,,7040,45942.46,2249941.58,N,N,N,N
VOTRIENT,PAZOPANIB HCL,3106,18639,18950.4,155834759.66,4361,,15456,15743.9,128077271.65,,3627,128841.12,7189142.14,N,N,N,N
VP-GGR-B6,PNV/FOLIC AC/B6/CALCIUM/GINGER,,11,11.0,216.42,,,11,11,216.42,*,,0.00,85.62,N,N,N,N
VP-HEME OB,"PNV 21/IRON PS,HEME PPEP/FOLIC",,11,11.0,799.02,,*,,,,*,,10.80,16.00,N,N,N,N
VP-PNV-DHA,PRENATAL NO.52/IRON/FA/DHA,28,62,74.0,4075.90,27,,19,25,1311.31,*,,136.95,190.12,N,N,N,N
VPRIV,VELAGLUCERASE ALFA,20,322,322.0,8240094.02,24,,203,203,4685118.25,#,,464.78,133961.43,N,N,N,N
VRAYLAR,CARIPRAZINE HCL,4466,26635,27275.0,26566129.22,8263,,3286,3491.8,3244104.48,,1086,53539.81,324050.99,N,N,N,Y
VUSION,MICONAZOLE NITRATE/ZINC OX/PET,390,867,948.6,555567.36,411,,725,795.6,464000.23,,357,734.92,38555.21,N,N,N,N
VYTORIN,EZETIMIBE/SIMVASTATIN,73732,584449,1093901.0,277446979.60,123946,,543730,1030569.2,260843900.83,,116188,755787.14,48718652.03,N,N,N,N
VYVANSE,LISDEXAMFETAMINE DIMESYLATE,21761,169028,178747.6,46707150.66,26399,,47934,54205.7,14126885.25,,8011,459322.02,5633807.42,N,N,N,N
WARFARIN SODIUM,WARFARIN SODIUM,350143,14300434,22035502.0,161085888.88,2097395,,12641243,19773625.8,143493499.42,,1878441,3827336.28,47298760.78,N,N,N,N
WATER,"WATER FOR IRRIGATION,STERILE",6140,24837,25513.5,556569.22,7655,,15616,16075.2,313603.96,,5403,6603.20,80267.14,N,N,N,N
WEBCOL,ALCOHOL ANTISEPTIC PADS,860,3685,4998.1,11935.76,1377,,2883,4065.1,8899.73,,1099,1530.18,2594.18,N,N,N,N
WELCHOL,COLESEVELAM HCL,64984,521770,786452.8,318122484.13,121584,,449373,693065.9,278617048.28,,105909,751430.25,32240136.34,N,N,N,N
WELLBUTRIN,BUPROPION HCL,403,1036,1371.3,253333.88,371,,598,822.6,152307.13,,225,2333.53,45161.83,N,N,N,N
WELLBUTRIN SR,BUPROPION HCL,2415,10364,14971.9,5720321.44,2077,,6640,10098.4,3692292.77,,1349,14534.95,757646.54,N,N,N,N
WELLBUTRIN XL,BUPROPION HCL,5032,26456,38120.7,59015535.09,4591,,14346,22709,33690579.25,,2687,40302.93,1758896.29,N,N,N,N
WERA,NORETHINDRONE-ETHINYL ESTRAD,129,539,748.2,14253.73,115,*,,,,*,,449.20,999.46,N,N,N,N
WP THYROID,"THYROID,PORK",,24,40.0,414.94,,#,,,,#,,34.86,161.95,N,N,N,N
WYMZYA FE,NORETH-ETHINYL ESTRADIOL/IRON,64,316,453.1,21191.50,61,,0,0,0.00,,0,300.06,388.27,N,N,N,N
XALATAN,LATANOPROST,6061,42721,60419.9,9327770.42,8075,,41338,58675.2,9057959.17,,7796,42961.94,1711994.63,N,N,N,N
XALKORI,CRIZOTINIB,1343,7292,7416.2,98141008.25,1381,,6242,6358.2,83912648.14,,1199,56121.23,4580225.76,N,N,N,N
XANAX,ALPRAZOLAM,7245,33585,39119.6,12895053.48,6682,,25135,30122.6,8576227.70,,5283,38237.43,1314862.15,N,N,N,N
XANAX XR,ALPRAZOLAM,240,1034,1227.2,541315.16,204,,553,697.3,259720.19,,121,1166.25,39367.63,N,N,N,N
XARELTO,RIVAROXABAN,252141,4403332,5944848.8,1954748889.80,807820,,3941953,5391082,1769571049.70,,722223,6712176.98,241915054.91,N,N,N,N
XARTEMIS XR,OXYCODONE HCL/ACETAMINOPHEN,205,988,1009.5,223921.29,222,,464,476.5,101174.70,,117,2003.28,34916.70,Y,Y,N,N
XELJANZ,TOFACITINIB CITRATE,4297,53878,61162.7,202286721.44,9204,,30989,36014,118111213.47,,5295,96506.29,3707592.73,N,N,N,N
XELJANZ XR,TOFACITINIB CITRATE,1557,8765,10008.0,34729214.19,2850,,4814,5680,19674040.93,,1600,12848.08,431161.26,N,N,N,N
XENAZINE,TETRABENAZINE,1329,12718,13699.0,161853123.71,2068,,6390,6983.3,74801727.78,,1054,140375.08,4622986.58,N,N,N,N
XENICAL,ORLISTAT,530,1787,2455.8,1251759.36,509,,806,1317.5,643740.22,,244,4505.79,57225.73,N,N,N,N
XEOMIN,INCOBOTULINUMTOXINA,131,420,952.6,457369.57,200,,273,641.4,278277.73,,138,644.38,52441.50,N,N,N,N
XERESE,ACYCLOVIR/HYDROCORTISONE,287,379,405.0,460211.57,285,,320,344,385142.28,,243,343.20,15847.47,N,N,N,N
XGEVA,DENOSUMAB,881,7454,7697.5,15162047.11,1403,,6754,6966.6,13739403.89,,1260,22918.42,649137.40,N,N,N,N
XIAFLEX,COLLAGENASE CLOSTRIDIUM HIST.,344,600,603.7,3028942.49,482,,537,540.3,2634592.70,,444,4138.78,410523.22,N,N,N,N
XIFAXAN,RIFAXIMIN,42237,284593,298933.6,464888133.24,74119,,171007,181165.6,272143512.28,,48992,748926.11,18341987.23,N,N,Y,N
XIGDUO XR,DAPAGLIFLOZIN/METFORMIN HCL,3539,17643,24219.0,8367722.76,4767,,12240,17383.9,5995224.88,,3340,36850.01,715908.84,N,N,N,N
XIIDRA,LIFITEGRAST,5350,13025,15523.8,6494045.91,9254,,11580,13890.3,5806955.07,,8250,13392.55,866960.23,N,N,N,N
XODOL 10-300,HYDROCODONE/ACETAMINOPHEN,,53,53.0,42070.92,,,20,20,16834.60,*,,51.15,1435.22,Y,N,N,N
XODOL 7.5-300,HYDROCODONE/ACETAMINOPHEN,,21,23.0,22627.62,,*,,,,*,,5.50,579.48,Y,N,N,N
XOLAIR,OMALIZUMAB,2491,23906,26146.1,78951249.15,3841,,14715,16534.3,47835274.07,,2383,59243.58,2603020.00,N,N,N,N
